name;price;stock;category_id;
Bicicleta Elíptica Domyos EL 520;299.0;46;5;
Boneca Barbie Fashionista;19.99;69;7;
Candeeiro de Mesa IKEA RANARP;39.99;94;3;
Carteira em Pele Guess;69.99;75;2;
Mala de Mão Parfois;34.99;94;2;
Sérum Facial The Ordinary Niacinamide 10% + Zinc 1%;7.9;88;4;
Tapete universal para porta-bagagens;24.90;24;9;
Kit de reparação rápida para pneus;12.90;46;9;
Haruki Murakami - Kafka à Beira-Mar;15.2;74;6;
Caixa Hermética Pyrex 1L;9.99;32;3;
Suporte de Facas com Íman IKEA;12.99;39;3;
Khaled Hosseini - O Menino de Cabul;13.99;5;6;
Bola de Futebol Adidas Euro 2024;24.99;20;5;
Escorredor de Loiça Inox;22.99;63;3;
Coluna Marshall Emberton;159.0;49;1;
Cinto em Pele Mango;19.99;7;2;
Creme Anticelulite Elancyl Slim Design;32.99;11;4;
Antoine de Saint-Exupéry - O Principezinho;7.99;25;6;
Lixa de Unhas Elétrica Revlon;19.99;59;4;
Comedouro duplo em inox antideslizante;12.90;23;10;
Coluna Inteligente Google Nest Audio;99.99;1;1;
Luvas de Jardinagem Bricoflor;5.99;42;8;
Óculos de Sol Ray-Ban Aviator;129.99;86;2;
Rato Apple Magic Mouse;85.0;18;1;
Portátil Lenovo IdeaPad 3;649.99;29;1;
Conjunto de fusíveis variados para viatura;9.60;74;9;
Halteres Hexagonais 10kg (par);54.99;0;5;
Auriculares Samsung Galaxy Buds2 Pro;239.0;81;1;
Trator de Brincar Bruder;34.99;64;7;
Colete com Peso 10kg Domyos;59.99;79;5;
Ténis de Corrida Nike Air Zoom Pegasus 39;129.99;56;5;
Jane Austen - Orgulho e Preconceito;9.99;85;6;
Champô L’Oréal Elvive Dream Long 400ml;5.99;41;4;
Câmara de Vigilância Xiaomi Mi 360;39.99;10;1;
Auriculares Apple AirPods Pro (2ª Geração);299.0;64;1;
Lego City - Estação de Bombeiros;49.99;90;7;
Super Mario - Boneco Interativo;29.99;26;7;
"Televisão Samsung QLED 50""";799.0;99;1;
Gimbal DJI OM 5;169.0;50;1;
Torradeira Russell Hobbs 2 fatias;44.99;88;3;
Smartwatch Samsung Galaxy Watch5;299.99;16;1;
Soundbar LG SP2;149.0;4;1;
Corta-relva Elétrico Einhell 1200W;109.99;47;8;
Secador de Cabelo Rowenta Premium Care;49.99;58;4;
Vaso em Cerâmica 40cm;14.99;26;8;
Eça de Queirós - Os Maias;11.2;34;6;
Ténis Converse Chuck Taylor;74.99;2;2;
Jeans Pull&Bear Skinny;29.99;84;2;
Desmaquilhante Bifásico Garnier 400ml;6.99;56;4;
Espremedor de Citrinos Braun;34.9;14;3;
Camisola Lacoste Polo;79.0;75;2;
Casaco Pull&Bear Oversized;49.99;87;2;
Mini Projetor Philips NeoPix;239.0;87;1;
Webcam Logitech C920 HD Pro;89.99;58;1;
Calções de Ganga Salsa;34.99;5;2;
Boneca LOL Surprise OMG;39.99;50;7;
Conjunto de Pincéis Real Techniques;22.99;48;4;
Almofada de Cadeira com Laços;12.99;75;3;
Smartphone OnePlus 11 5G;829.0;91;1;
Jarro Elétrico Russell Hobbs 1.7L;39.99;74;3;
Camisola Tommy Hilfiger;99.9;81;2;
Soutien Desportivo Nike Swoosh;34.99;45;5;
Cadeira de Cozinha Dobrável;29.99;9;3;
Desodorizante Nivea Men Black & White;3.99;35;4;
Rolo de Espuma para Massagem;19.99;71;5;
Jogo Twister;22.99;63;7;
Líquido limpa pára-brisas concentrado 5L;8.90;28;9;
Relógio Casio Vintage Dourado;49.99;10;2;
Estufa de Jardim com Estrutura Metálica;79.9;99;8;
Batedeira Elétrica Bosch ErgoMixx;69.9;78;3;
Leitor Kindle Paperwhite;149.99;18;1;
Luvas de Treino Domyos Musculação;12.99;66;5;
Câmara GoPro Hero 11 Black;499.99;53;1;
Play-Doh - Conjunto de Modelagem;14.99;88;7;
Smartwatch Apple Watch Series 8;499.99;78;1;
Conjunto de Ferramentas de Jardinagem (5 peças);29.99;2;8;
Cafeteira Italiana Bialetti Moka;34.99;15;3;
Jogo de Cartas UNO;7.99;82;7;
Tapete de Corrida NordicTrack T6.5S;899.0;44;5;
"Monitor Samsung 24"" Full HD";129.0;57;1;
Sapatos Clarks de Camurça;109.0;42;2;
Relógio Garmin Forerunner 255;349.0;50;5;
Conjunto de Frascos para Especiarias;16.99;43;3;
Carregador Rápido Baseus 65W;39.99;78;1;
Manga de Rega Extensível 30m;34.99;36;8;
Faqueiro Villeroy & Boch 24 peças;129.0;80;3;
"Monitor AOC 27"" Curvo";229.0;35;1;
Casaco Trench Coat Stradivarius;69.99;27;2;
Auriculares Bluetooth Sony WH-1000XM5;379.0;24;1;
T-shirt básica H&M Algodão;9.99;15;2;
Kit de Irrigação Automática Gardena;89.0;32;8;
Garrafa de Água Isotérmica 750ml;19.99;32;5;
Blazer H&M Slim Fit;59.99;58;2;
Batom MAC Matte Ruby Woo;23.0;32;4;
Tónico Facial Garnier Pure Active;6.49;27;4;
Puzzle Clementoni 1000 peças;12.99;94;7;
Manta Antiervas Geotêxtil 10m²;19.99;18;8;
Liquidificadora Philips Daily Collection;49.99;3;3;
Carregador de bateria inteligente 12V;49.90;46;9;
Conjunto de Copos Luminarc (12 unid.);18.99;56;3;
Calções de Corrida Kalenji Dry+;14.99;92;5;
Vestido Mango Floral;59.99;58;2;
Frigorífico Combinado LG Total No Frost;899.0;100;3;
Brinquedo em corda para roer;4.80;60;10;
Chapéu Zara Lã;24.99;100;2;
Aspirador Vertical Dyson V15 Detect;749.0;0;3;
Túnel de Cultivo com Cobertura Plástica;59.99;62;8;
